relacao,accuracy,precision,recall,f1,best_threshold,best_accuracy,best_precision,best_recall,best_f1
leftOf,0.848,0.8333333333333334,0.847457627118644,0.8403361344537815,0.39999999999999997,0.84,0.7746478873239436,0.9322033898305084,0.8461538461538461
rightOf,0.856,0.9056603773584906,0.7868852459016393,0.8421052631578947,0.44999999999999996,0.856,0.8909090909090909,0.8032786885245902,0.8448275862068966
below,0.816,0.8478260869565217,0.7090909090909091,0.7722772277227723,0.39999999999999997,0.792,0.7164179104477612,0.8727272727272727,0.7868852459016393
above,0.832,0.8793103448275862,0.7846153846153846,0.8292682926829268,0.44999999999999996,0.848,0.8382352941176471,0.8769230769230769,0.8571428571428571
closeTo,1.0,1.0,1.0,1.0,0.44999999999999996,1.0,1.0,1.0,1.0
canStack,0.784,0.5106382978723404,0.8571428571428571,0.64,0.49999999999999994,0.784,0.5106382978723404,0.8571428571428571,0.64
