id,pergunta,formula,valor_verdade,resposta
consulta_1,Existe algum objeto pequeno abaixo de um cilindro e à esquerda de um quadrado?,"∃x(IsSmall(x) ∧ ∃y(IsCylinder(y) ∧ Below(x,y)) ∧ ∃z(IsSquare(z) ∧ LeftOf(x,z)))",0.7273959050297663,Sim
consulta_2,Existe um cone verde entre dois objetos?,"∃x,y,z(IsCone(x) ∧ IsGreen(x) ∧ InBetween(x,y,z))",0.8391663432121277,Sim
consulta_3,"Se dois triângulos estão próximos, eles têm o mesmo tamanho?","∀x,y((IsTriangle(x) ∧ IsTriangle(y) ∧ CloseTo(x,y)) → SameSize(x,y))",0.9265936048356367,Sim
consulta_4,Existe algum objeto que pode ser empilhado sobre outro?,"∃x,y CanStack(x,y)",0.9499461650848389,Sim
